year,mesoamerica_k,cocoliztli_locs_max,agri_collapse_max,contacted
1499,11383.86882,0,0,0
1500,11407.49080,0,0,0
1501,11559.04625,0,0,0
1502,11581.71168,0,0,0
1503,11605.43765,0,0,0
1504,11629.97383,0,0,0
1505,11653.06264,0,0,0
1506,11676.09978,0,0,0
1507,11674.45633,0,0,0
1508,11672.72806,0,0,0
1509,11719.94356,0,0,0
1510,11642.05572,0,0,325
1511,11511.35277,0,0,325
1512,11382.46128,0,0,325
1513,11218.42737,0,0,325
1514,11107.57850,0,0,325
1515,10803.69497,0,0,325
1516,10845.97762,0,0,325
1517,10724.37431,0,0,325
1518,10607.78267,0,0,325
1519,10494.74767,0,0,325
1520,10252.47474,0,0,325
1521,10117.83898,0,0,325
1522,10029.67101,0,0,325
1523,9916.22890,0,0,325
1524,9807.67015,0,0,325
1525,9700.41608,0,0,325
1526,9593.73572,0,0,325
1527,9488.74211,0,0,325
1528,9385.54484,0,0,325
1529,9283.68949,0,0,325
1530,9149.39471,0,0,325
1531,9018.71070,0,0,325
1532,8905.33896,0,0,325
1533,8655.44235,0,0,325
1534,8554.08327,0,0,325
1535,8481.90956,0,0,325
1536,8438.99326,0,0,325
1537,8343.33155,0,0,325
1538,8245.38979,0,0,325
1539,8114.48307,0,0,325
1540,7532.41298,0,0,325
1541,7286.90883,0,0,325
1542,7210.84344,0,0,325
1543,7137.45022,0,0,325
1544,7063.66672,0,0,325
1545,6994.05448,0,0,325
1546,6801.80658,0,0,325
1547,6761.90270,0,0,325
1548,6691.89898,0,0,325
1549,6710.25065,0,0,325
1550,6642.20993,0,0,325
1551,6565.42901,0,0,325
1552,6499.19088,0,0,325
1553,6435.43303,0,0,325
1554,6315.39204,0,0,325
1555,6297.52799,0,0,325
1556,6235.26132,0,0,325
1557,6175.34189,0,0,325
1558,6116.07395,0,0,325
1559,6056.02851,0,0,325
1560,5995.66690,0,0,325
1561,5936.66426,0,0,325
1562,5834.34083,0,0,325
1563,5813.25011,0,0,325
1564,5755.74754,0,0,325
1565,5698.77786,0,0,325
1566,5643.30658,0,0,325
1567,5588.22310,0,0,325
1568,5531.77217,0,0,325
1569,5478.24013,0,0,325
1570,5432.87938,0,0,325
1571,5380.44387,0,0,325
1572,5328.96197,0,0,325
1573,5278.59418,0,0,325
1574,5228.16318,0,0,325
1575,5178.64029,0,0,325
1576,5127.67367,0,0,325
1577,5080.44639,0,0,325
1578,5035.19869,0,0,325
1579,4989.41035,0,0,325
1580,4943.19986,0,0,325
1581,4896.79901,0,0,325
1582,4850.32430,0,0,325
1583,4805.96906,0,0,325
1584,4760.13245,0,0,325
1585,4715.00354,0,0,325
1586,4670.12369,0,0,325
1587,4626.02263,0,0,325
1588,4582.43440,0,0,325
1589,4540.70671,0,0,325
1590,4498.96465,0,0,325
1591,4457.08654,0,0,325
1592,4415.75652,0,0,325
1593,4374.14105,0,0,325
1594,4333.56190,0,0,325
1595,4294.23298,0,0,325
1596,4255.34427,0,0,325
1597,4217.31761,0,0,325
1598,4179.78951,0,0,325
1599,3631.17691,0,0,325
1600,3426.86856,0,0,325
1601,3377.42924,0,0,325
1602,3351.43844,0,0,325
1603,3324.11151,0,0,325
1604,3297.15700,0,0,325
1605,3269.27322,0,0,325
1606,3242.56113,0,0,325
1607,3216.75943,0,0,325
1608,3191.48387,0,0,325
1609,3166.33840,0,0,325
1610,3141.72050,0,0,325
1611,3117.28469,0,0,325
1612,3091.52320,0,0,325
1613,3067.49095,0,0,325
1614,3043.71163,0,0,325
1615,3019.80851,0,0,325
1616,2996.58868,0,0,325
1617,2950.42851,0,0,325
1618,2937.75678,0,0,325
1619,2915.76455,0,0,325
1620,2894.41156,0,0,325
1621,2873.52958,0,0,325
1622,2852.89166,0,0,325
1623,2832.77515,0,0,325
1624,2812.59218,0,0,325
1625,2744.57298,0,0,325
1626,2767.93997,0,0,325
1627,2748.95132,0,0,325
1628,2685.51937,0,0,325
1629,2710.54973,0,0,325
1630,2719.95108,0,0,325
1631,2739.76065,0,0,325
1632,2402.47430,0,0,325
1633,2420.71028,0,0,325
1634,2438.64991,0,0,325
1635,2457.89751,0,0,325
1636,2440.15523,0,0,325
1637,2496.44369,0,0,325
1638,2516.26579,0,0,325
1639,2536.28026,0,0,325
1640,2556.72756,0,0,325
1641,2577.29560,0,0,325
1642,2560.09321,0,0,325
1643,2617.59483,0,0,325
1644,2638.28702,0,0,325
1645,2658.34061,0,0,325
1646,2678.62039,0,0,325
1647,2698.32494,0,0,325
1648,2717.90732,0,0,325
1649,2737.69073,0,0,325
1650,2203.34751,240,0,325
1651,1944.08093,237,0,325
1652,1963.23979,3,0,325
1653,1982.94037,0,0,325
1654,2002.92358,0,0,325
1655,2022.86925,0,0,325
1656,2042.48090,0,0,325
1657,2062.48167,0,0,325
1658,2082.31346,0,0,325
1659,2102.11976,0,0,325
1660,2119.53878,0,0,325
1661,2138.58158,0,0,325
1662,2158.83040,0,0,325
1663,2178.95374,0,0,325
1664,2199.87145,0,0,325
1665,2220.77842,0,0,325
1666,2242.06138,0,0,325
1667,2263.65338,0,0,325
1668,2284.82235,0,0,325
1669,2306.09889,0,0,325
1670,2327.78463,0,0,325
1671,2349.40884,0,0,325
1672,2371.09800,0,0,325
1673,2393.01402,0,0,325
1674,2415.31084,0,0,325
1675,2437.40569,0,0,325
1676,2459.72831,0,0,325
1677,2481.18331,0,0,325
1678,2503.01464,0,0,325
1679,2518.40278,0,0,325
1680,2539.95489,0,0,325
1681,2561.36045,0,0,325
1682,2582.96283,0,0,325
1683,2603.97310,0,0,325
1684,2624.32426,0,0,325
1685,2644.21435,0,0,325
1686,2663.46568,0,0,325
1687,2656.66362,0,0,325
1688,2702.48443,0,0,325
1689,2721.59363,0,0,325
1690,2739.76684,0,0,325
1691,2742.35889,0,0,325
1692,2759.90565,0,0,325
1693,2777.42047,0,0,325
1694,2794.30516,0,0,325
1695,2811.35359,0,0,325
1696,2828.48121,0,0,325
1697,2845.16206,0,0,325
1698,2861.66025,0,0,325
1699,2878.30069,0,0,325
1700,2894.80609,0,0,325
1701,2910.95619,0,0,325
1702,2927.76035,0,0,325
1703,2941.64056,0,0,325
1704,2952.69644,0,0,325
